时间,东门,西门,南门,北门
00:00,26,44,36,32
00:10,27,44,36,32
00:20,27,45,36,32
00:30,28,45,36,32
00:40,28,45,36,32
00:50,29,46,36,32
01:00,29,46,36,32
01:10,30,47,36,32
01:20,31,47,36,33
01:30,31,48,36,33
01:40,32,48,37,33
01:50,33,48,37,33
02:00,35,48,37,33
02:10,36,48,37,33
02:20,37,49,37,33
02:30,37,49,37,33
02:40,41,50,37,33
02:50,42,51,37,34
03:00,43,51,37,34
03:10,44,51,37,34
03:20,47,52,37,35
03:30,48,52,37,35
03:40,49,53,37,35
03:50,50,53,37,35
04:00,50,53,37,37
04:10,50,54,37,37
04:20,52,54,37,37
04:30,53,54,37,37
04:40,57,54,37,37
04:50,57,54,37,37
05:00,58,54,37,37
05:10,58,54,38,37
05:20,59,54,39,37
05:30,61,54,39,37
05:40,61,54,39,37
05:50,62,54,39,37
06:00,63,54,39,37
06:10,64,55,39,37
06:20,63,55,39,37
06:30,65,56,39,37
06:40,65,56,39,37
06:50,65,56,39,37
07:00,66,56,40,37
07:10,66,57,40,37
07:20,66,57,40,38
07:30,66,57,40,38
07:40,66,57,40,38
07:50,66,58,40,38
08:00,66,58,40,38
08:10,66,59,40,39
08:20,66,59,40,39
08:30,66,59,40,38
08:40,65,59,40,38
08:50,65,59,40,39
09:00,63,59,39,38
09:10,62,59,38,38
09:20,62,59,38,38
09:30,62,59,38,38
09:40,61,56,38,38
09:50,60,56,38,38
10:00,60,56,38,38
